id,credito,enganche,precio base,monto contrato,precio venta credito,dif,BASE,VENTA
121,0,1527000,1527000,1527000,1527000,0,1527000,1527000
122,757270.68,774369.32,1549000,1531640,1531640,0,1549000,1531640
119,1353784,-2784,1356000,1351000,1351000,0,1356000,1351000
124,1217488,279512,1527000,1497000,1497000,0,1527000,1497000
126,1488088.77,70911.23,1549000,1559000,1559000,0,1549000,1559000
127,1316129.29,42870.71,1374000,1359000,1359000,0,1374000,1359000
128,966360,374640,1356000,1341000,1341000,0,1356000,1341000
129,1442529.86,54470.14,1527000,1497000,1497000,0,1527000,1497000
123,416124,1218516,1622000,1634640,1634640,0,1622000,1634640
131,1172140,51270.49,1151000,1223410.49,1223410.49,0,1151000,1223410.49
132,0,1439000,1439000,1439000,1439000,0,1439000,1439000
133,1225385.17,153254.83,1366000,1378640,1378640,0,1366000,1378640
134,1272612.53,458027.47,1718000,1730640,1730640,0,1718000,1730640
136,1776280.64,217719.36,1994000,1994000,1994000,0,1994000,1994000
135,982299,186081,1173000,1168380,1168380,0,1173000,1168380
139,1141439.58,26560.42,1168000,1168000,1168000,0,1168000,1168000
140,0,1168000,1168000,1168000,1168000,0,1168000,1168000
141,969424.77,267635.23,1243000,1237060,1237060,0,1243000,1237060
142,1201039.91,-50039.91,1151000,1151000,1151000,0,1151000,1151000
144,1132950,18050,1151000,1151000,1151000,0,1151000,1151000
145,1761000,10244.01,1644000,1771244.01,1771244.01,0,1644000,1771244.01
146,1545600,3400,1549000,1549000,1549000,0,1549000,1549000
147,1458783,26217,1485000,1485000,1485000,0,1485000,1485000
148,1518764.02,93235.98,1632000,1612000,1612000,0,1632000,1612000
149,1388822.33,180177.67,1569000,1569000,1569000,0,1569000,1569000
150,985130.9,319869.1,1305000,1305000,1305000,0,1305000,1305000
151,1082037.2,107032.8,1197000,1189070,1189070,0,1197000,1189070
152,1374339.75,250300.25,1632000,1624640,1624640,0,1632000,1624640
153,1354000,5000,1374000,1359000,1359000,0,1374000,1359000
154,0,1452000,1485000,1452000,1452000,0,1485000,1452000
158,1093934.27,149065.73,1243000,1243000,1243000,0,1243000,1243000
159,1192540,5036,1197000,1197576,1197576,0,1197000,1197576
160,1057670,112252,1168000,1169922,1169922,0,1168000,1169922
